Date,Country,Conflict,Event_Type,Fatalities,Source,Summary,Latitude,Longitude
2023-09-29,Gaza,Israel-Hamas Conflict,Airstrike,16,Reuters,Airstrike reported in Gaza related to Israel-Hamas Conflict.,31.1671,35.0745
2023-09-30,Russia,Russia-Ukraine War,Ground Combat,42,Al Jazeera,Ground Combat reported in Russia related to Russia-Ukraine War.,55.2725,37.7565
2023-09-30,Israel,Israel-Hamas Conflict,Ground Combat,0,The Guardian,Ground Combat reported in Israel related to Israel-Hamas Conflict.,30.4395,34.2603
2023-09-30,Israel,Israel-Hamas Conflict,Missile Strike,60,BBC,Missile Strike reported in Israel related to Israel-Hamas Conflict.,31.7107,35.2651
2023-09-30,Myanmar,Myanmar Conflict,Cyber Operation,30,Associated Press,Cyber Operation reported in Myanmar related to Myanmar Conflict.,22.8768,96.2705
2023-10-02,Sudan,Sudan Civil War,Missile Strike,0,Associated Press,Missile Strike reported in Sudan related to Sudan Civil War.,13.2213,30.5891
2023-10-03,Gaza,Israel-Hamas Conflict,Ground Combat,18,BBC,Ground Combat reported in Gaza related to Israel-Hamas Conflict.,32.2441,34.8011
2023-10-04,West Bank,Israel-Hamas Conflict,Political Negotiation,68,Associated Press,Political Negotiation reported in West Bank related to Israel-Hamas Conflict.,31.7256,34.955
2023-10-06,Yemen,Yemen Civil War,Ground Combat,19,Al Jazeera,Ground Combat reported in Yemen related to Yemen Civil War.,15.4767,49.2867
2023-10-07,Israel,Israel-Hamas Conflict,Cyber Operation,56,Reuters,Cyber Operation reported in Israel related to Israel-Hamas Conflict.,31.3819,34.5
2023-10-07,West Bank,Israel-Hamas Conflict,Ground Combat,4,Reuters,Ground Combat reported in West Bank related to Israel-Hamas Conflict.,31.7461,35.3385
2023-10-09,Ukraine,Russia-Ukraine War,Missile Strike,18,The Guardian,Missile Strike reported in Ukraine related to Russia-Ukraine War.,47.5708,31.556
2023-10-09,Israel,Israel-Hamas Conflict,Drone Attack,54,Al Jazeera,Drone Attack reported in Israel related to Israel-Hamas Conflict.,31.9594,35.6837
2023-10-10,West Bank,Israel-Hamas Conflict,Political Negotiation,69,Reuters,Political Negotiation reported in West Bank related to Israel-Hamas Conflict.,32.8296,35.7462
2023-10-10,Myanmar,Myanmar Conflict,Political Negotiation,22,The Guardian,Political Negotiation reported in Myanmar related to Myanmar Conflict.,21.4921,96.9163
2023-10-11,Yemen,Yemen Civil War,Missile Strike,27,The Guardian,Missile Strike reported in Yemen related to Yemen Civil War.,15.7238,48.4228
2023-10-11,Gaza,Israel-Hamas Conflict,Drone Attack,78,Associated Press,Drone Attack reported in Gaza related to Israel-Hamas Conflict.,30.4716,34.243
2023-10-12,Myanmar,Myanmar Conflict,Political Negotiation,10,The Guardian,Political Negotiation reported in Myanmar related to Myanmar Conflict.,21.4122,96.2068
2023-10-12,Israel,Israel-Hamas Conflict,Cyber Operation,83,The Guardian,Cyber Operation reported in Israel related to Israel-Hamas Conflict.,30.7572,33.9096
2023-10-12,West Bank,Israel-Hamas Conflict,Drone Attack,93,Associated Press,Drone Attack reported in West Bank related to Israel-Hamas Conflict.,32.6393,35.9611
2023-10-12,Yemen,Yemen Civil War,Political Negotiation,0,Al Jazeera,Political Negotiation reported in Yemen related to Yemen Civil War.,14.8582,48.1227
2023-10-13,Russia,Russia-Ukraine War,Ground Combat,85,Al Jazeera,Ground Combat reported in Russia related to Russia-Ukraine War.,55.0598,37.5952
2023-10-15,West Bank,Israel-Hamas Conflict,Drone Attack,4,Associated Press,Drone Attack reported in West Bank related to Israel-Hamas Conflict.,30.9788,35.8878
2023-10-17,Yemen,Yemen Civil War,Drone Attack,41,Al Jazeera,Drone Attack reported in Yemen related to Yemen Civil War.,16.152,47.686
2023-10-17,Sudan,Sudan Civil War,Airstrike,30,The Guardian,Airstrike reported in Sudan related to Sudan Civil War.,12.4178,31.153
2023-10-18,West Bank,Israel-Hamas Conflict,Missile Strike,44,Reuters,Missile Strike reported in West Bank related to Israel-Hamas Conflict.,31.724,35.2824
2023-10-21,Ukraine,Russia-Ukraine War,Ground Combat,67,BBC,Ground Combat reported in Ukraine related to Russia-Ukraine War.,47.4345,31.3472
2023-10-22,Ukraine,Russia-Ukraine War,Cyber Operation,0,The Guardian,Cyber Operation reported in Ukraine related to Russia-Ukraine War.,47.8708,31.0597
2023-10-23,West Bank,Israel-Hamas Conflict,Cyber Operation,107,Associated Press,Cyber Operation reported in West Bank related to Israel-Hamas Conflict.,32.2565,35.7823
2023-10-23,Sudan,Sudan Civil War,Drone Attack,30,The Guardian,Drone Attack reported in Sudan related to Sudan Civil War.,12.283,30.5863
2023-10-23,Israel,Israel-Hamas Conflict,Drone Attack,0,Associated Press,Drone Attack reported in Israel related to Israel-Hamas Conflict.,31.4965,34.9646
2023-10-25,Gaza,Israel-Hamas Conflict,Political Negotiation,34,The Guardian,Political Negotiation reported in Gaza related to Israel-Hamas Conflict.,31.2909,33.8975
2023-10-25,Yemen,Yemen Civil War,Drone Attack,8,Al Jazeera,Drone Attack reported in Yemen related to Yemen Civil War.,16.1199,47.9773
2023-10-27,Gaza,Israel-Hamas Conflict,Airstrike,18,Al Jazeera,Airstrike reported in Gaza related to Israel-Hamas Conflict.,31.7914,34.0334
2023-10-28,Israel,Israel-Hamas Conflict,Cyber Operation,32,Associated Press,Cyber Operation reported in Israel related to Israel-Hamas Conflict.,31.3239,34.5964
2023-10-30,Israel,Israel-Hamas Conflict,Drone Attack,17,Associated Press,Drone Attack reported in Israel related to Israel-Hamas Conflict.,30.4108,34.4155
2023-10-30,Myanmar,Myanmar Conflict,Ground Combat,23,Reuters,Ground Combat reported in Myanmar related to Myanmar Conflict.,22.8855,95.8373
2023-10-31,West Bank,Israel-Hamas Conflict,Cyber Operation,38,Reuters,Cyber Operation reported in West Bank related to Israel-Hamas Conflict.,32.5061,34.8905
2023-10-31,Russia,Russia-Ukraine War,Missile Strike,0,Associated Press,Missile Strike reported in Russia related to Russia-Ukraine War.,54.9588,36.9028
2023-11-01,Ukraine,Russia-Ukraine War,Drone Attack,39,Associated Press,Drone Attack reported in Ukraine related to Russia-Ukraine War.,48.8208,31.7949
2023-11-02,Israel,Israel-Hamas Conflict,Political Negotiation,43,The Guardian,Political Negotiation reported in Israel related to Israel-Hamas Conflict.,32.0342,34.6592
2023-11-02,Yemen,Yemen Civil War,Ground Combat,35,The Guardian,Ground Combat reported in Yemen related to Yemen Civil War.,15.9383,48.578
2023-11-04,Yemen,Yemen Civil War,Political Negotiation,35,Associated Press,Political Negotiation reported in Yemen related to Yemen Civil War.,14.8313,48.5639
2023-11-05,Russia,Russia-Ukraine War,Ground Combat,56,BBC,Ground Combat reported in Russia related to Russia-Ukraine War.,55.9865,38.5333
2023-11-05,Russia,Russia-Ukraine War,Drone Attack,0,The Guardian,Drone Attack reported in Russia related to Russia-Ukraine War.,56.2475,37.0373
2023-11-05,West Bank,Israel-Hamas Conflict,Political Negotiation,72,Reuters,Political Negotiation reported in West Bank related to Israel-Hamas Conflict.,32.3406,35.7763
2023-11-06,Ukraine,Russia-Ukraine War,Political Negotiation,22,Al Jazeera,Political Negotiation reported in Ukraine related to Russia-Ukraine War.,48.6517,30.2227
2023-11-06,West Bank,Israel-Hamas Conflict,Cyber Operation,4,Associated Press,Cyber Operation reported in West Bank related to Israel-Hamas Conflict.,32.2059,36.0284
2023-11-07,Russia,Russia-Ukraine War,Cyber Operation,48,Associated Press,Cyber Operation reported in Russia related to Russia-Ukraine War.,55.6433,38.4916
2023-11-07,Gaza,Israel-Hamas Conflict,Airstrike,37,Reuters,Airstrike reported in Gaza related to Israel-Hamas Conflict.,30.7229,34.2081
2023-11-08,Yemen,Yemen Civil War,Political Negotiation,16,Al Jazeera,Political Negotiation reported in Yemen related to Yemen Civil War.,15.2639,48.3189
2023-11-08,Israel,Israel-Hamas Conflict,Ground Combat,32,BBC,Ground Combat reported in Israel related to Israel-Hamas Conflict.,30.3527,35.6199
2023-11-10,Yemen,Yemen Civil War,Political Negotiation,35,Associated Press,Political Negotiation reported in Yemen related to Yemen Civil War.,16.3058,49.4008
2023-11-11,Yemen,Yemen Civil War,Political Negotiation,41,Reuters,Political Negotiation reported in Yemen related to Yemen Civil War.,15.7018,48.0906
2023-11-12,Ukraine,Russia-Ukraine War,Cyber Operation,0,Associated Press,Cyber Operation reported in Ukraine related to Russia-Ukraine War.,48.9576,31.8023
2023-11-14,Russia,Russia-Ukraine War,Missile Strike,62,Al Jazeera,Missile Strike reported in Russia related to Russia-Ukraine War.,56.4113,37.4248
2023-11-15,Sudan,Sudan Civil War,Drone Attack,20,Reuters,Drone Attack reported in Sudan related to Sudan Civil War.,12.0077,30.2894
2023-11-15,Ukraine,Russia-Ukraine War,Drone Attack,33,BBC,Drone Attack reported in Ukraine related to Russia-Ukraine War.,49.0317,30.5877
2023-11-16,Ukraine,Russia-Ukraine War,Political Negotiation,0,Associated Press,Political Negotiation reported in Ukraine related to Russia-Ukraine War.,49.2748,31.3198
2023-11-17,Yemen,Yemen Civil War,Missile Strike,3,Associated Press,Missile Strike reported in Yemen related to Yemen Civil War.,16.044,49.0945
2023-11-19,West Bank,Israel-Hamas Conflict,Missile Strike,20,Associated Press,Missile Strike reported in West Bank related to Israel-Hamas Conflict.,30.9766,34.3257
2023-11-19,Yemen,Yemen Civil War,Cyber Operation,42,BBC,Cyber Operation reported in Yemen related to Yemen Civil War.,15.9381,47.6069
2023-11-20,Gaza,Israel-Hamas Conflict,Missile Strike,91,Reuters,Missile Strike reported in Gaza related to Israel-Hamas Conflict.,32.0287,33.3373
2023-11-21,Yemen,Yemen Civil War,Political Negotiation,39,Reuters,Political Negotiation reported in Yemen related to Yemen Civil War.,14.7516,48.1171
2023-11-22,West Bank,Israel-Hamas Conflict,Ground Combat,29,BBC,Ground Combat reported in West Bank related to Israel-Hamas Conflict.,31.128,34.9866
2023-11-24,Ukraine,Russia-Ukraine War,Drone Attack,48,The Guardian,Drone Attack reported in Ukraine related to Russia-Ukraine War.,48.8865,31.7499
2023-11-25,Russia,Russia-Ukraine War,Ground Combat,14,Associated Press,Ground Combat reported in Russia related to Russia-Ukraine War.,56.5384,36.7492
2023-11-25,Yemen,Yemen Civil War,Ground Combat,28,BBC,Ground Combat reported in Yemen related to Yemen Civil War.,15.2089,47.8949
2023-11-26,Russia,Russia-Ukraine War,Cyber Operation,41,Reuters,Cyber Operation reported in Russia related to Russia-Ukraine War.,54.9606,37.7509
2023-11-27,Sudan,Sudan Civil War,Ground Combat,0,Reuters,Ground Combat reported in Sudan related to Sudan Civil War.,13.7941,29.8367
2023-11-28,Israel,Israel-Hamas Conflict,Missile Strike,22,BBC,Missile Strike reported in Israel related to Israel-Hamas Conflict.,30.8152,35.1432
2023-11-30,West Bank,Israel-Hamas Conflict,Missile Strike,18,Al Jazeera,Missile Strike reported in West Bank related to Israel-Hamas Conflict.,32.7374,34.6402
2023-12-01,Ukraine,Russia-Ukraine War,Political Negotiation,54,BBC,Political Negotiation reported in Ukraine related to Russia-Ukraine War.,47.5439,31.6326
2023-12-06,West Bank,Israel-Hamas Conflict,Ground Combat,31,BBC,Ground Combat reported in West Bank related to Israel-Hamas Conflict.,32.5833,35.7824
2023-12-08,West Bank,Israel-Hamas Conflict,Political Negotiation,72,BBC,Political Negotiation reported in West Bank related to Israel-Hamas Conflict.,31.0776,35.0045
2023-12-13,Israel,Israel-Hamas Conflict,Drone Attack,17,Associated Press,Drone Attack reported in Israel related to Israel-Hamas Conflict.,31.0131,34.6679
2023-12-13,Ukraine,Russia-Ukraine War,Airstrike,16,Reuters,Airstrike reported in Ukraine related to Russia-Ukraine War.,48.5136,30.7731
2023-12-14,Russia,Russia-Ukraine War,Drone Attack,65,Associated Press,Drone Attack reported in Russia related to Russia-Ukraine War.,54.8574,36.655
2023-12-15,Ukraine,Russia-Ukraine War,Ground Combat,25,The Guardian,Ground Combat reported in Ukraine related to Russia-Ukraine War.,47.7784,31.3818
2023-12-16,Ukraine,Russia-Ukraine War,Drone Attack,0,BBC,Drone Attack reported in Ukraine related to Russia-Ukraine War.,49.0605,31.9944
2023-12-16,Yemen,Yemen Civil War,Missile Strike,35,The Guardian,Missile Strike reported in Yemen related to Yemen Civil War.,15.2366,48.0195
2023-12-17,Gaza,Israel-Hamas Conflict,Cyber Operation,30,Al Jazeera,Cyber Operation reported in Gaza related to Israel-Hamas Conflict.,31.7675,35.2817
2023-12-20,Gaza,Israel-Hamas Conflict,Cyber Operation,40,The Guardian,Cyber Operation reported in Gaza related to Israel-Hamas Conflict.,30.7408,34.0373
2023-12-22,Russia,Russia-Ukraine War,Ground Combat,0,Reuters,Ground Combat reported in Russia related to Russia-Ukraine War.,54.8566,37.8183
2023-12-23,Yemen,Yemen Civil War,Political Negotiation,5,Reuters,Political Negotiation reported in Yemen related to Yemen Civil War.,14.7643,48.7087
2023-12-24,Russia,Russia-Ukraine War,Drone Attack,54,Al Jazeera,Drone Attack reported in Russia related to Russia-Ukraine War.,55.1261,37.2417
2023-12-24,Russia,Russia-Ukraine War,Political Negotiation,11,BBC,Political Negotiation reported in Russia related to Russia-Ukraine War.,55.7119,36.9743
2023-12-24,Russia,Russia-Ukraine War,Cyber Operation,10,Reuters,Cyber Operation reported in Russia related to Russia-Ukraine War.,55.4494,38.0266
2023-12-25,Sudan,Sudan Civil War,Ground Combat,47,Reuters,Ground Combat reported in Sudan related to Sudan Civil War.,13.6828,29.9252
2023-12-28,Myanmar,Myanmar Conflict,Political Negotiation,49,Associated Press,Political Negotiation reported in Myanmar related to Myanmar Conflict.,21.0985,95.2834
2023-12-30,Yemen,Yemen Civil War,Political Negotiation,41,Al Jazeera,Political Negotiation reported in Yemen related to Yemen Civil War.,16.1699,47.7044
2023-12-30,Ukraine,Russia-Ukraine War,Ground Combat,0,BBC,Ground Combat reported in Ukraine related to Russia-Ukraine War.,47.9613,31.4168
2023-12-31,Yemen,Yemen Civil War,Drone Attack,0,Associated Press,Drone Attack reported in Yemen related to Yemen Civil War.,15.9479,49.2314
2024-01-03,Ukraine,Russia-Ukraine War,Missile Strike,41,Associated Press,Missile Strike reported in Ukraine related to Russia-Ukraine War.,47.8152,31.598
2024-01-05,Russia,Russia-Ukraine War,Drone Attack,37,Reuters,Drone Attack reported in Russia related to Russia-Ukraine War.,55.0211,38.2012
2024-01-06,Ukraine,Russia-Ukraine War,Drone Attack,43,Associated Press,Drone Attack reported in Ukraine related to Russia-Ukraine War.,49.1506,31.2564
2024-01-08,Russia,Russia-Ukraine War,Airstrike,0,Associated Press,Airstrike reported in Russia related to Russia-Ukraine War.,56.1322,38.3996
2024-01-15,Ukraine,Russia-Ukraine War,Missile Strike,66,The Guardian,Missile Strike reported in Ukraine related to Russia-Ukraine War.,48.7712,31.1608
2024-01-16,Israel,Israel-Hamas Conflict,Drone Attack,54,Al Jazeera,Drone Attack reported in Israel related to Israel-Hamas Conflict.,31.6159,34.2687
2024-01-30,Israel,Israel-Hamas Conflict,Drone Attack,21,Reuters,Drone Attack reported in Israel related to Israel-Hamas Conflict.,31.3452,34.815
2024-02-19,Russia,Russia-Ukraine War,Drone Attack,24,Reuters,Drone Attack reported in Russia related to Russia-Ukraine War.,54.8771,38.0203
2024-02-22,Ukraine,Russia-Ukraine War,Airstrike,14,Associated Press,Airstrike reported in Ukraine related to Russia-Ukraine War.,47.6743,30.6735
2024-03-11,Russia,Russia-Ukraine War,Drone Attack,11,Reuters,Drone Attack reported in Russia related to Russia-Ukraine War.,55.8781,38.1349
2024-03-17,Russia,Russia-Ukraine War,Political Negotiation,42,BBC,Political Negotiation reported in Russia related to Russia-Ukraine War.,55.9703,37.2729
2024-03-24,Ukraine,Russia-Ukraine War,Cyber Operation,38,The Guardian,Cyber Operation reported in Ukraine related to Russia-Ukraine War.,48.5029,31.6856
2024-03-27,Russia,Russia-Ukraine War,Drone Attack,36,Al Jazeera,Drone Attack reported in Russia related to Russia-Ukraine War.,56.6737,37.9065
2024-03-31,Russia,Russia-Ukraine War,Drone Attack,29,Al Jazeera,Drone Attack reported in Russia related to Russia-Ukraine War.,55.1431,37.8276
2024-04-08,Russia,Russia-Ukraine War,Ground Combat,28,The Guardian,Ground Combat reported in Russia related to Russia-Ukraine War.,55.6836,36.6425
2024-04-19,Russia,Russia-Ukraine War,Missile Strike,23,Associated Press,Missile Strike reported in Russia related to Russia-Ukraine War.,56.7025,37.8296
2024-05-06,Russia,Russia-Ukraine War,Missile Strike,27,Reuters,Missile Strike reported in Russia related to Russia-Ukraine War.,54.7682,36.9972
2024-05-31,Russia,Russia-Ukraine War,Political Negotiation,14,Associated Press,Political Negotiation reported in Russia related to Russia-Ukraine War.,54.7685,38.3062
